pair,point_index,I,Q,abs_s,phase_rad
1,0,-0.5610376596450806,-0.9374333620071411,1.0924946515860117,-2.110099426361427
1,1,-0.18344196677207947,-0.5460569858551025,0.5760461673983851,-1.8948903574533225
1,2,-0.06658425182104111,-0.41927608847618103,0.42453021206794483,-1.7282887889643899
1,3,-0.38650116324424744,-1.102826714515686,1.168593133403846,-1.9078845314150814
1,4,-0.547888457775116,-0.5890955924987793,0.8044969728126283,-2.319967854636081
1,5,-0.8011898994445801,-0.1359318494796753,0.8126393558491869,-2.973530573561499
1,6,-0.10572972893714905,-0.7373045682907104,0.7448468312367812,-1.7132256782696689
1,7,-0.7336859703063965,-0.22979816794395447,0.7688317767983035,-2.8380606051888337
1,8,-1.5673116445541382,0.392732173204422,1.6157674186048143,2.8960710514889247
1,9,-1.0449199676513672,-1.0743952989578247,1.4987271256700494,-2.3422874365747752
1,10,-1.2240992784500122,-0.12050603330135345,1.2300165639388225,-3.0434641808666885
1,11,0.5254710912704468,1.051525592803955,1.1755109272493656,1.1073706714973606
1,12,0.4010191261768341,0.6652382612228394,0.7767614072251647,1.0283056587755275
1,13,-0.6054677963256836,-1.2866076231002808,1.4219530330525103,-2.0106423364891985
1,14,-1.151145100593567,0.7985550761222839,1.4010086552984746,2.535104048605761
1,15,0.5531176924705505,-0.8647658824920654,1.0265277459699895,-1.0017559309838915
1,16,0.3035573959350586,-2.200491428375244,2.221330596507372,-1.433711717968063
1,17,-2.2806317806243896,-0.19521954655647278,2.28897181943153,-3.0562019161571627
1,18,1.3342667818069458,-0.7055733799934387,1.5093381462047626,-0.4864289490823224
1,19,-0.010259662754833698,-1.295080542564392,1.2951211805884124,-1.5787181878673797
1,20,-0.8097120523452759,1.4990780353546143,1.703780667749182,2.066037998469182
1,21,-1.068156361579895,-1.8603065013885498,2.1451569387557887,-2.0920163901078483
1,22,1.8397295475006104,0.552183210849762,1.920810013065101,0.2915886128880672
1,23,-1.307598352432251,1.0389825105667114,1.670119189922397,2.470169551850991
1,24,-0.20988787710666656,-1.6394675970077515,1.6528481244792923,-1.6981256878045219
1,25,0.04609866440296173,0.32668012380599976,0.32991664121356507,1.4306093919142275
1,26,2.0405385494232178,0.33916887640953064,2.068534045745226,0.1647095489069548
1,27,-0.2642553746700287,0.12887053191661835,0.29400428064650586,2.687854206599671
1,28,0.3264087438583374,0.8379449844360352,0.8992744102934793,1.199344088547673
1,29,-1.4629727602005005,-1.9158375263214111,2.4105440722687512,-2.222957701773265
1,30,1.5869203805923462,0.7910251021385193,1.7731432560717173,0.4624192764332448
1,31,-1.2199057340621948,0.03586219251155853,1.2204327498266991,3.1122036065524523
1,32,-0.15263354778289795,0.8020268678665161,0.8164215190014091,1.7588572320770097
1,33,-0.7004294395446777,-0.18821056187152863,0.7252755444524983,-2.879085998278139
1,34,-0.6175681352615356,1.3004764318466187,1.4396629298134072,2.014145423817171
1,35,0.31363335251808167,0.6780557036399841,0.7470779189953651,1.1375565651863302
1,36,1.3239446878433228,0.33859503269195557,1.3665563042305355,0.250380354259279
1,37,-0.4776698648929596,0.6405608057975769,0.7990535937913672,2.2115434346512997
1,38,0.8998199105262756,0.8478525876998901,1.2363372848251866,0.7556717616562003
1,39,-1.0500996112823486,-0.7643947601318359,1.298848929988529,-2.5123692550760173
1,40,2.14414119720459,-1.3589962720870972,2.5385453198823456,-0.5649155621447957
1,41,-0.6196368932723999,-0.7503364682197571,0.9731159720427828,-2.2610793593358562
1,42,-1.6720086336135864,0.19139273464679718,1.6829272265175197,3.0276199764566893
1,43,-0.3314691185951233,-0.3555997312068939,0.4861305847369029,-2.321087821741781
1,44,-0.6750446557998657,-0.47772297263145447,0.8269852029533494,-2.525723627129771
1,45,-0.25906407833099365,1.353484869003296,1.3780549652689316,1.7599141886887346
1,46,-0.26068127155303955,-0.3239070773124695,0.41577700762742476,-2.248458856317873
1,47,-0.6933115720748901,0.07417423278093338,0.6972680637901005,3.035012629523942
1,48,-1.2669872045516968,0.41195183992385864,1.3322765834894703,2.8272315503373613
1,49,1.9193122386932373,1.0463207960128784,2.1859887185817475,0.49911508266396265
1,50,0.3669959306716919,-1.327426552772522,1.3772244792099515,-1.3010623650941568
1,51,-1.1129299402236938,-0.1392296552658081,1.1216050769998103,-3.017137323414031
1,52,-0.7570589184761047,-0.15408264100551605,0.7725798769728889,-2.9408071580709096
1,53,0.20922142267227173,-0.7108713984489441,0.7410207479131518,-1.2845615625842324
1,54,-1.4770060777664185,-0.17942441999912262,1.4878642667430926,-3.020706513562336
1,55,-0.21553990244865417,-1.723853349685669,1.7372759771464281,-1.6951845826372798
1,56,-0.8354936838150024,-0.6395301818847656,1.0521637463989741,-2.488275486113561
1,57,-0.11171068251132965,-0.02196776680648327,0.11385016190419371,-2.947421510106334
1,58,-1.1551002264022827,-0.3603684902191162,1.2100090833450012,-2.839181338266543
1,59,-1.513042688369751,-1.0769060850143433,1.857155053507941,-2.523025134846305
1,60,0.6068252921104431,-0.7550287842750549,0.9686616541542212,-0.8937963884149036
1,61,-1.4702444076538086,0.5877858996391296,1.5833858917054553,2.7612691490933603
1,62,1.0426045656204224,-2.459867477416992,2.6716983899209854,-1.1699036801797988
1,63,-1.045272707939148,0.1467016488313675,1.0555171281093838,3.0021556856718195
1,64,0.3173852860927582,0.5873166918754578,0.667588433380712,1.0753542838260508
1,65,0.3091256618499756,0.9203010201454163,0.9708309031416744,1.2467409233187696
1,66,0.17529532313346863,0.7836794257164001,0.8030453863908652,1.350736313953705
1,67,0.06851272284984589,0.44200289249420166,0.4472812875199907,1.4170150014856877
1,68,0.4963631331920624,0.5482293963432312,0.7395483966631966,0.8350095688372476
1,69,0.4677792191505432,0.8984918594360352,1.012968419715993,1.0907835304561049
1,70,0.17636826634407043,0.8679236769676208,0.885662054292837,1.3703189131298399
1,71,0.45969685912132263,0.7079818248748779,0.8441323750687278,0.9949091221297492
1,72,0.6946229934692383,0.4333568811416626,0.8187180769281905,0.557788840902102
1,73,0.21927471458911896,0.5212270021438599,0.5654723584951035,1.1725823895157599
1,74,0.42535659670829773,0.2897920310497284,0.5146918064465299,0.5980595818465756
1,75,0.8850425481796265,1.2539548873901367,1.534830013942227,0.9561877096323983
1,76,0.6122559905052185,-1.5342296361923218,1.6518831600571362,-1.1910970081997296
1,77,-0.4583593010902405,-1.081213355064392,1.1743575128833352,-1.9717607360353817
1,78,-0.05611727014183998,-0.26036790013313293,0.2663467503610835,-1.7830796630525434
1,79,0.6543970108032227,0.6342446804046631,0.9113186941843157,0.7697610099853069
1,80,0.4356769025325775,-0.6062126755714417,0.7465307571854404,-0.9476388283792107
1,81,1.3541027307510376,1.1004844903945923,1.7448955037555867,0.6824393268540745
1,82,0.6763609051704407,0.6759268641471863,0.9562119010547958,0.7850771954657718
1,83,1.2262969017028809,1.756882905960083,2.1425315951884656,0.9614167252752457
1,84,0.6519526243209839,-0.2358265221118927,0.6932938575311403,-0.3470804176894234
1,85,0.4816287159919739,0.5198455452919006,0.7086646675458789,0.8235402267015552
1,86,-0.6077747344970703,-0.8653930425643921,1.0574947971559199,-2.183071367983214
1,87,0.02650788612663746,-0.592514157295227,0.5931068155249742,-1.5260881591559208
1,88,-0.45916128158569336,1.2364559173583984,1.31895880075081,1.9263655633837764
1,89,-1.2150001525878906,-1.9067096710205078,2.260921745738169,-2.138137305126722
1,90,-0.37315353751182556,-1.221950650215149,1.2776568217321953,-1.867177257679224
1,91,1.9837452173233032,1.9352535009384155,2.771362697329145,0.7730252984518265
1,92,-0.6117776036262512,0.305513471364975,0.6838203839343749,2.6784359714168615
1,93,-1.4613703489303589,-1.008156180381775,1.7753822632815752,-2.5376974641848755
1,94,-0.789212167263031,-2.0376765727996826,2.1851731419484066,-1.940315262354794
1,95,1.9019231796264648,1.7086942195892334,2.5567455323629886,0.7319322925499603
1,96,2.154059886932373,0.19627849757671356,2.162983875368025,0.09086932169404932
1,97,0.22449806332588196,-0.10801578313112259,0.24913207309076327,-0.44844893014835985
1,98,-0.2235223799943924,0.35217559337615967,0.41712096917825614,2.136333512415796
1,99,-0.9769037961959839,0.826474130153656,1.279609516546109,2.439417318566858
1,100,0.5010622143745422,-2.039351224899292,2.100003990751485,-1.3298717502204398
1,101,0.3939343988895416,-3.0989902019500732,3.123927749230289,-1.4443574279662528
1,102,0.5377400517463684,-1.0718439817428589,1.1991721663091472,-1.105792679332318
1,103,-0.2870279848575592,-1.4187930822372437,1.447535448372733,-1.7704066041558868
1,104,-0.5773949027061462,1.1876519918441772,1.3205688650738672,2.023314853233124
1,105,-0.6862894892692566,1.0552860498428345,1.2588176635535229,2.14740703622069
1,106,-0.6476917862892151,0.1278359740972519,0.6601868571093396,2.9467256593888136
1,107,-0.9913116097450256,-0.7665412425994873,1.253109805332813,-2.4833708121201887
1,108,-1.6897618770599365,-1.3168818950653076,2.142305563339627,-2.479583142330319
1,109,-0.8601087927818298,-0.34198471903800964,0.925602875684882,-2.7631514681839704
1,110,0.5739755630493164,0.8377672433853149,1.0155303545769616,0.9701232736591279
1,111,0.4243393838405609,-0.5836848616600037,0.7216314366830512,-0.9421778933402666
1,112,-1.5764384269714355,1.694299578666687,2.3142621235076826,2.3201750425815155
1,113,-0.27414828538894653,-0.1344427913427353,0.30533939563332724,-2.6856531082638475
1,114,-0.14855404198169708,-0.6640713810920715,0.6804844616702361,-1.7908748935605485
1,115,-0.0069247097708284855,0.30192217230796814,0.30200157240745057,1.5937277196500796
1,116,-1.274551272392273,-2.0647764205932617,2.4264753476997627,-2.123827043740055
1,117,-0.2573215067386627,0.8724638223648071,0.9096194144617107,1.8576013439736623
1,118,-0.6185188293457031,0.3254091143608093,0.6988967262509285,2.657275668762077
1,119,1.3505959510803223,0.7641956806182861,1.5518068376412721,0.5149087298643259
1,120,-0.9904924631118774,0.7696452736854553,1.2543640487465324,2.4810137416105373
1,121,0.327699214220047,1.4045385122299194,1.4422604505904861,1.3415822453774047
1,122,0.309622585773468,1.5730133056640625,1.603195872442675,1.3764467910125244
1,123,-0.14634953439235687,2.495307445526123,2.499595454051508,1.6293791179573225
1,124,0.04277539253234863,1.2863138914108276,1.287024926504053,1.537554335375505
1,125,0.08707459270954132,-0.7489128708839417,0.7539578720798398,-1.4550480429873247
1,126,0.9116254448890686,-0.6139125823974609,1.0990676096560719,-0.5926677854445769
1,127,1.6515058279037476,1.4860044717788696,2.221639212326529,0.7326977435019806
1,128,-0.23978616297245026,-2.4950225353240967,2.5065184730474526,-1.6666078780811542
1,129,0.7411055564880371,0.5929911732673645,0.9491448664089421,0.6748287482365511
1,130,0.6611092686653137,0.854741096496582,1.0805775340785895,0.9124482070860308
1,131,0.92460036277771,0.1985255926847458,0.9456734329563787,0.21150376279347896
1,132,1.3426958322525024,0.5597832798957825,1.4547128302174006,0.3949984139840577
1,133,0.27533408999443054,0.6839392781257629,0.7372799992379089,1.1880755738502842
1,134,0.2885853350162506,-0.19867220520973206,0.3503600158541775,-0.6029218823879385
1,135,0.8161777853965759,0.22746241092681885,0.8472811373797366,0.2717956013967086
1,136,-0.6192563772201538,0.24226221442222595,0.6649582252025987,2.76868265469806
1,137,1.1456433534622192,1.5917388200759888,1.9611555687066389,0.9469423529560177
1,138,0.4129251539707184,1.0033377408981323,1.0849856243712674,1.1803715926706064
1,139,0.6360425353050232,2.072136402130127,2.1675560836458256,1.272975527116116
1,140,-0.5284737944602966,-1.1831800937652588,1.2958393749665236,-1.9908654139700441
1,141,-1.483884334564209,-0.16202150285243988,1.4927034821931744,-3.0328360623628488
1,142,1.35177481174469,1.2511276006698608,1.8419053761866582,0.7467501163892976
1,143,1.293745994567871,1.1730111837387085,1.7463487439902994,0.7364924421846208
1,144,0.22717586159706116,0.2633652985095978,0.3478076372816109,0.8590392716134625
1,145,-0.8332368731498718,0.9595144391059875,1.2708074777988416,2.2858727769222646
1,146,-0.8215540051460266,0.9237886667251587,1.2362590683757688,2.2976856499787846
1,147,0.26713326573371887,0.12625989317893982,0.29546868241341406,0.4415272285895019
1,148,0.5394529104232788,-0.04347063973546028,0.5412015697345641,-0.08040907793634233
1,149,0.7149458527565002,0.6959365606307983,0.997735069442958,0.7719256430701237
1,150,0.27008822560310364,-0.9855078458786011,1.0218480140890394,-1.3033042878254688
1,151,-0.9546869993209839,0.6833093166351318,1.1740267837118858,2.5203797183299557
1,152,0.5600086450576782,0.42630597949028015,0.7038085468992997,0.6506616351126436
1,153,0.8551635146141052,1.2989097833633423,1.5551434859986888,0.988559433890154
1,154,-0.09981179237365723,-2.4126298427581787,2.4146935938259735,-1.6121432858984837
1,155,0.15768353641033173,-1.3598251342773438,1.3689369939727922,-1.4553532299161
1,156,0.8824971318244934,-0.932398796081543,1.2838102284266035,-0.8128868440608367
1,157,-0.42486435174942017,-0.1002388596534729,0.4365289754095181,-2.9098981802245225
1,158,0.40043923258781433,-0.13399095833301544,0.42226195176752257,-0.3228990841615597
1,159,-0.3722851574420929,0.2581881582736969,0.453053378228711,2.5352272011314714
1,160,-1.5229073762893677,-0.6036241054534912,1.6381724382497385,-2.7642255656399395
1,161,0.4434453547000885,-1.1988152265548706,1.2782025387335503,-1.2165017257266697
1,162,-0.24004751443862915,-0.7145981788635254,0.7538390852318755,-1.8948726873215147
1,163,1.3469736576080322,-1.1937370300292969,1.7998183606000708,-0.7251586294874023
1,164,0.1528601497411728,-1.613123893737793,1.6203502466833126,-1.4763181141827004
1,165,1.2932955026626587,-0.574469268321991,1.415142465426666,-0.4180120542113667
1,166,0.1439436972141266,-1.7805473804473877,1.78635628080899,-1.4901293690946806
1,167,-0.035459283739328384,-2.216818332672119,2.217101910349297,-1.5867905377302414
1,168,1.3560768365859985,-2.3843255043029785,2.7429824092025714,-1.0536744014805997
1,169,-2.063626289367676,-2.8057401180267334,3.48291990606647,-2.2049536913345738
1,170,-0.13866038620471954,-0.6910417079925537,0.7048158233806247,-1.7688207973756593
